Student Name,Availability,Other Activities,English Level
Alexis Logan,Monday 19:00-17:00; Tuesday 16:00-18:00,Writing,C
Donna Reed,Friday 21:00-21:00; Thursday 18:00-20:00,Reading,Proficiency
Cody Stephenson,Wednesday 17:00-18:00; Friday 18:00-18:00,Reading,A-Junior
Timothy Fletcher,Thursday 21:00-22:00; Monday 17:00-23:00,Writing,A
Morgan Scott,Tuesday 20:00-20:00; Thursday 20:00-17:00,Drawing,E
Jill Harris,Friday 21:00-17:00; Wednesday 21:00-21:00,Chess,C
Christine Martinez,Thursday 20:00-23:00; Wednesday 18:00-23:00,Music,E
Thomas Lin,Friday 15:00-20:00; Thursday 16:00-22:00,Music,Proficiency
Caitlin Jackson,Thursday 17:00-20:00; Friday 21:00-20:00,Dancing,D
Isaac Walker,Monday 18:00-20:00; Tuesday 19:00-19:00,Swimming,D
Terri Nelson,Thursday 21:00-22:00; Tuesday 19:00-19:00,Writing,D
Janet Dudley,Monday 20:00-18:00; Friday 20:00-22:00,Writing,A
James Lopez,Wednesday 16:00-22:00; Thursday 19:00-17:00,Dancing,E
Michele Rojas,Thursday 16:00-18:00; Wednesday 18:00-20:00,Chess,B
Ronald Garcia,Monday 19:00-20:00; Wednesday 21:00-20:00,Music,Lower
Patricia Lyons,Monday 21:00-22:00; Thursday 20:00-19:00,Dancing,Proficiency
Billy Welch MD,Tuesday 20:00-17:00; Wednesday 18:00-17:00,Chess,D
Bridget Jones,Friday 21:00-18:00; Monday 16:00-19:00,Chess,B
Annette Gomez,Monday 19:00-22:00; Thursday 17:00-20:00,Chess,C
Dale Smith,Friday 15:00-23:00; Wednesday 15:00-21:00,Writing,A-Junior
Jennifer Martinez,Friday 20:00-19:00; Tuesday 18:00-23:00,Chess,A
Ryan Coffey,Thursday 20:00-17:00; Wednesday 21:00-20:00,Reading,E
Ricardo Mccann,Monday 19:00-19:00; Tuesday 20:00-23:00,Swimming,C
Robert English,Friday 17:00-18:00; Wednesday 20:00-17:00,Writing,Proficiency
Ricky Vega,Monday 20:00-20:00; Friday 19:00-19:00,Writing,D
Allison Dickson,Tuesday 19:00-21:00; Wednesday 21:00-20:00,Music,A-Junior
Anthony Ross,Tuesday 19:00-23:00; Thursday 15:00-21:00,Dancing,Lower
Thomas Crawford,Tuesday 20:00-18:00; Monday 18:00-20:00,Writing,B
Nicole Underwood,Wednesday 21:00-18:00; Thursday 18:00-23:00,Writing,A-Junior
Charles Case,Friday 18:00-23:00; Monday 18:00-20:00,Dancing,A-Junior
Shawn Lee,Wednesday 18:00-21:00; Friday 21:00-20:00,Dancing,Pre-Junior
Megan Shelton,Tuesday 16:00-22:00; Wednesday 18:00-23:00,Music,Pre-Junior
Kelly Brock DVM,Friday 16:00-22:00; Tuesday 16:00-18:00,Dancing,Lower
Aaron Robertson,Tuesday 21:00-20:00; Thursday 18:00-23:00,Reading,Pre-Junior
Taylor Johnson,Friday 20:00-19:00; Thursday 21:00-18:00,Swimming,Lower
Wendy Mathis,Tuesday 21:00-21:00; Monday 19:00-20:00,Swimming,A
Dr. Judy Patterson,Tuesday 19:00-19:00; Friday 16:00-19:00,Music,A-Junior
Jessica Jimenez,Thursday 15:00-18:00; Wednesday 21:00-22:00,Writing,Pre-Junior
Dana Holden,Tuesday 15:00-19:00; Thursday 15:00-19:00,Chess,D
Regina Hawkins,Monday 17:00-19:00; Tuesday 18:00-21:00,Music,A-Junior
Alexis Hughes,Thursday 19:00-17:00; Friday 19:00-21:00,Drawing,A-Junior
Ms. Samantha Boone,Tuesday 21:00-21:00; Wednesday 21:00-21:00,Dancing,C
Joan Guzman,Tuesday 21:00-21:00; Friday 21:00-19:00,Dancing,B
Dawn Barnes,Wednesday 20:00-18:00; Friday 18:00-19:00,Music,E
Dean Russell,Thursday 15:00-17:00; Friday 16:00-18:00,Chess,C
Laura Parrish,Thursday 15:00-18:00; Friday 20:00-20:00,Reading,Proficiency
Jessica Bell,Monday 17:00-18:00; Tuesday 16:00-23:00,Drawing,D
Lawrence Mccarthy,Friday 16:00-18:00; Wednesday 17:00-22:00,Chess,B
Gerald Day,Tuesday 15:00-21:00; Thursday 21:00-20:00,Drawing,Pre-Junior
Anthony Chen,Thursday 20:00-19:00; Wednesday 17:00-23:00,Writing,A
Jonathan Hudson,Monday 20:00-20:00; Friday 18:00-23:00,Dancing,Proficiency
Jason Phillips,Wednesday 18:00-19:00; Friday 15:00-22:00,Chess,A
Cassandra David,Thursday 16:00-18:00; Tuesday 20:00-17:00,Music,B
Elizabeth Owens,Thursday 17:00-20:00; Monday 16:00-19:00,Dancing,E
Ricardo Graham,Wednesday 19:00-18:00; Tuesday 16:00-18:00,Dancing,E
Scott Martinez,Monday 21:00-23:00; Friday 21:00-17:00,Reading,A-Junior
Mrs. Lauren King,Tuesday 16:00-23:00; Monday 18:00-19:00,Swimming,Pre-Junior
Jose Bowman,Tuesday 21:00-17:00; Wednesday 20:00-17:00,Chess,Lower
Janice Jenkins,Thursday 18:00-22:00; Monday 17:00-21:00,Swimming,A-Junior
Jason Green,Wednesday 17:00-17:00; Thursday 19:00-23:00,Swimming,Pre-Junior
Ronald Green,Wednesday 15:00-20:00; Tuesday 19:00-18:00,Chess,E
Jennifer Gutierrez,Monday 18:00-22:00; Tuesday 19:00-21:00,Music,A-Junior
Elizabeth Walters,Monday 18:00-20:00; Friday 17:00-18:00,Writing,Proficiency
Matthew Jackson,Friday 16:00-20:00; Wednesday 17:00-20:00,Dancing,Lower
Kathleen Clark,Tuesday 16:00-23:00; Monday 21:00-22:00,Dancing,A-Junior
Curtis Hoover,Thursday 19:00-23:00; Friday 15:00-22:00,Music,Proficiency
Jesus Avila,Wednesday 21:00-23:00; Monday 16:00-19:00,Chess,C
Angelica Hays,Monday 15:00-21:00; Wednesday 19:00-21:00,Reading,A-Junior
Melissa Phillips,Tuesday 20:00-21:00; Friday 17:00-22:00,Dancing,A-Junior
Marcia Young,Monday 19:00-17:00; Tuesday 17:00-20:00,Writing,Lower
Kayla Scott,Wednesday 20:00-23:00; Thursday 19:00-17:00,Swimming,B
Christopher Carlson,Friday 15:00-21:00; Wednesday 21:00-22:00,Music,C
Ashley Banks,Friday 16:00-20:00; Thursday 21:00-22:00,Music,Pre-Junior
Tracy Jones,Thursday 19:00-21:00; Monday 18:00-17:00,Writing,Pre-Junior
Ashley Alvarez,Thursday 16:00-22:00; Friday 18:00-19:00,Music,A-Junior
Tracy Mendez,Wednesday 21:00-20:00; Tuesday 20:00-17:00,Chess,D
Katelyn Hamilton,Monday 19:00-18:00; Tuesday 18:00-18:00,Swimming,E
Derrick Houston,Friday 17:00-19:00; Thursday 18:00-22:00,Swimming,Proficiency
Jerome Bean,Tuesday 20:00-20:00; Monday 17:00-18:00,Music,E
Charles Glover,Monday 19:00-17:00; Tuesday 20:00-17:00,Reading,B
Patrick Harris,Wednesday 20:00-18:00; Thursday 15:00-22:00,Writing,A-Junior
Katherine Mcdonald,Tuesday 18:00-23:00; Wednesday 15:00-22:00,Music,Proficiency
Bradley Davis,Thursday 18:00-19:00; Friday 19:00-17:00,Music,Proficiency
Austin Mills,Thursday 21:00-18:00; Friday 19:00-18:00,Dancing,D
Jillian Jennings,Thursday 21:00-22:00; Friday 19:00-17:00,Music,C
Adam Pham,Thursday 16:00-22:00; Friday 20:00-20:00,Dancing,B
Lisa Harrell,Thursday 18:00-18:00; Monday 16:00-21:00,Dancing,Proficiency
Christopher Dickerson,Tuesday 15:00-22:00; Friday 16:00-21:00,Music,E
Craig Ray,Friday 18:00-17:00; Monday 17:00-21:00,Reading,D
Tanya Harris,Tuesday 21:00-23:00; Friday 18:00-21:00,Music,Proficiency
Caroline Mitchell,Wednesday 16:00-23:00; Tuesday 20:00-18:00,Chess,Lower
Jack Martinez,Wednesday 15:00-20:00; Monday 16:00-17:00,Music,A
Jennifer Ruiz,Wednesday 16:00-17:00; Thursday 18:00-19:00,Drawing,B
Amber Jones,Monday 21:00-23:00; Friday 20:00-22:00,Swimming,B
Jake Diaz,Tuesday 19:00-21:00; Wednesday 18:00-17:00,Chess,Proficiency
Donald Brown,Thursday 20:00-19:00; Wednesday 19:00-21:00,Drawing,Lower
Carly Martinez,Wednesday 21:00-22:00; Friday 20:00-19:00,Chess,E
Roberto Bailey,Friday 21:00-18:00; Wednesday 20:00-18:00,Drawing,D
Tammy Hansen,Tuesday 16:00-17:00; Monday 15:00-17:00,Dancing,D
Cynthia Woodard,Wednesday 18:00-21:00; Friday 21:00-21:00,Writing,Proficiency
Deborah Serrano,Friday 19:00-19:00; Monday 20:00-17:00,Dancing,Proficiency
Kristin Ferrell,Thursday 19:00-23:00; Tuesday 17:00-18:00,Chess,E
Vanessa Curtis,Wednesday 15:00-20:00; Friday 19:00-18:00,Reading,Pre-Junior
Christine Maxwell PhD,Tuesday 17:00-22:00; Monday 21:00-19:00,Writing,A-Junior
Mrs. Barbara Rodriguez DDS,Monday 16:00-17:00; Wednesday 16:00-23:00,Music,C
Jessica Bennett,Friday 20:00-20:00; Thursday 18:00-21:00,Chess,Pre-Junior
Randy Benitez,Thursday 19:00-22:00; Tuesday 21:00-22:00,Chess,C
Tina Smith,Thursday 16:00-20:00; Monday 21:00-18:00,Dancing,A
Kevin Cruz,Tuesday 21:00-22:00; Friday 19:00-19:00,Swimming,B
Andrew Gonzalez,Wednesday 15:00-22:00; Friday 18:00-18:00,Chess,D
Anthony Williams,Friday 18:00-21:00; Monday 21:00-20:00,Drawing,C
Lisa Wright,Wednesday 18:00-22:00; Friday 20:00-22:00,Chess,Pre-Junior
Kylie Clark,Friday 21:00-18:00; Tuesday 21:00-20:00,Writing,Lower
Priscilla Moore,Tuesday 19:00-22:00; Friday 18:00-17:00,Reading,Lower
Andrew Guzman,Wednesday 18:00-22:00; Tuesday 18:00-18:00,Dancing,A-Junior
John Silva,Tuesday 17:00-21:00; Thursday 21:00-22:00,Drawing,C
Michael Bond,Monday 16:00-20:00; Wednesday 15:00-17:00,Reading,Proficiency
Shannon Raymond,Tuesday 20:00-18:00; Thursday 15:00-20:00,Swimming,B
David Wallace,Thursday 21:00-23:00; Wednesday 20:00-22:00,Reading,Proficiency
Jeremiah Roberts,Tuesday 21:00-23:00; Thursday 15:00-23:00,Music,C
Jeffrey Miranda,Thursday 20:00-23:00; Monday 21:00-17:00,Drawing,D
Angel Henson,Monday 18:00-20:00; Wednesday 17:00-20:00,Chess,C
Jack Mason,Tuesday 20:00-20:00; Wednesday 18:00-19:00,Drawing,A-Junior
Melissa Bennett,Monday 20:00-17:00; Tuesday 15:00-18:00,Music,Pre-Junior
Kimberly Williams,Wednesday 18:00-23:00; Tuesday 16:00-17:00,Reading,Proficiency
Lori Robinson,Friday 21:00-21:00; Tuesday 21:00-21:00,Dancing,A-Junior
Dennis Frazier,Wednesday 21:00-22:00; Thursday 18:00-21:00,Writing,D
Janice Taylor,Friday 16:00-17:00; Monday 21:00-21:00,Reading,A-Junior
George Price,Wednesday 18:00-17:00; Monday 18:00-19:00,Music,Proficiency
Stephen Brown,Monday 21:00-22:00; Friday 21:00-17:00,Music,E
Tommy Carpenter,Tuesday 18:00-20:00; Friday 16:00-20:00,Drawing,Pre-Junior
Emily Bell MD,Tuesday 15:00-19:00; Friday 18:00-23:00,Reading,Lower
Melissa Bates,Monday 16:00-20:00; Wednesday 20:00-19:00,Dancing,A
Alexis Johnson,Wednesday 21:00-21:00; Monday 18:00-20:00,Swimming,E
Brian Smith,Monday 18:00-23:00; Tuesday 21:00-19:00,Music,E
Carrie Perkins,Wednesday 21:00-22:00; Monday 17:00-17:00,Drawing,Proficiency
Sean Snyder,Wednesday 19:00-19:00; Friday 19:00-19:00,Reading,D
Angela Palmer,Wednesday 15:00-19:00; Tuesday 20:00-17:00,Writing,B
Denise Vasquez,Tuesday 17:00-22:00; Friday 16:00-21:00,Dancing,C
Victor Soto,Wednesday 17:00-17:00; Monday 18:00-19:00,Dancing,E
William Love,Friday 17:00-17:00; Tuesday 18:00-23:00,Writing,D
Michelle Miller,Thursday 20:00-21:00; Friday 18:00-20:00,Dancing,E
Mitchell Richardson,Tuesday 18:00-20:00; Wednesday 21:00-20:00,Writing,B
Mark Graves,Tuesday 16:00-23:00; Monday 15:00-19:00,Writing,B
Matthew Leonard,Thursday 17:00-17:00; Monday 21:00-17:00,Music,Lower
James Smith,Wednesday 21:00-18:00; Thursday 15:00-22:00,Swimming,C
Robert Kim,Tuesday 19:00-19:00; Wednesday 17:00-18:00,Swimming,D
Felicia Williams,Wednesday 21:00-18:00; Friday 20:00-17:00,Music,C
Jeffrey Watson,Thursday 16:00-21:00; Wednesday 17:00-18:00,Chess,Lower
Jessica Cortez,Friday 20:00-19:00; Tuesday 20:00-21:00,Music,D
Christopher Wood,Monday 19:00-19:00; Tuesday 15:00-20:00,Swimming,D
Brandy Kelley,Monday 15:00-20:00; Tuesday 17:00-22:00,Chess,Pre-Junior
Nicole Garner,Thursday 18:00-21:00; Friday 21:00-23:00,Reading,E
Brandy Johnson,Tuesday 21:00-20:00; Wednesday 21:00-21:00,Swimming,D
Lisa Parker,Monday 20:00-19:00; Tuesday 16:00-19:00,Music,E
Kelly Moon,Wednesday 20:00-19:00; Monday 18:00-23:00,Writing,A-Junior
Kathryn Watkins,Monday 16:00-21:00; Tuesday 17:00-21:00,Writing,A-Junior
Natasha Nguyen,Friday 15:00-18:00; Tuesday 20:00-22:00,Dancing,C
Aaron Spears,Friday 20:00-17:00; Tuesday 16:00-18:00,Chess,Lower
Bradley Chambers,Tuesday 18:00-21:00; Thursday 16:00-21:00,Swimming,C
Bradley Mckee,Friday 20:00-23:00; Monday 17:00-20:00,Reading,Pre-Junior
Cynthia Underwood,Wednesday 20:00-21:00; Tuesday 21:00-18:00,Swimming,Proficiency
Heather Lane,Thursday 18:00-21:00; Wednesday 20:00-22:00,Writing,C
Bryan Bell,Thursday 20:00-21:00; Wednesday 15:00-18:00,Chess,Proficiency
Rachael Harrington,Friday 20:00-22:00; Thursday 18:00-21:00,Drawing,Lower
Megan Gardner,Wednesday 19:00-19:00; Tuesday 18:00-17:00,Drawing,B
Randy Miller,Tuesday 17:00-18:00; Monday 18:00-18:00,Reading,Lower
Ryan Payne,Wednesday 17:00-20:00; Tuesday 18:00-17:00,Music,D
Nathan Clark,Wednesday 18:00-23:00; Thursday 21:00-19:00,Writing,Lower
Jill Jones,Friday 17:00-17:00; Thursday 16:00-17:00,Reading,A
Natalie Palmer,Thursday 21:00-18:00; Friday 15:00-18:00,Reading,C
Ana Brown,Tuesday 19:00-19:00; Friday 19:00-18:00,Drawing,A-Junior
Amanda Fitzpatrick,Monday 19:00-19:00; Thursday 17:00-21:00,Reading,A
Dustin Higgins,Thursday 20:00-22:00; Friday 16:00-18:00,Chess,A
Krystal Evans,Friday 15:00-18:00; Monday 21:00-21:00,Reading,A
Geoffrey Miller,Thursday 21:00-23:00; Friday 15:00-18:00,Writing,Lower
Angela Rodriguez,Monday 18:00-18:00; Friday 20:00-22:00,Drawing,B
Ashley Paul,Tuesday 18:00-21:00; Monday 21:00-17:00,Chess,A-Junior
Tammy Heath,Monday 19:00-22:00; Tuesday 19:00-17:00,Music,Lower
Tyler Lopez,Monday 17:00-19:00; Friday 17:00-19:00,Reading,Lower
Christina Rivera,Thursday 21:00-18:00; Monday 17:00-23:00,Writing,D
John Cortez,Wednesday 19:00-22:00; Tuesday 17:00-19:00,Music,E
Caroline Franco,Tuesday 18:00-22:00; Thursday 20:00-20:00,Music,D
Ashley Cooper,Friday 16:00-21:00; Monday 19:00-18:00,Music,Proficiency
Ryan Pierce,Monday 16:00-21:00; Tuesday 18:00-19:00,Writing,Lower
Joshua Fuller,Tuesday 18:00-20:00; Wednesday 20:00-17:00,Music,D
Melissa Barker,Wednesday 17:00-17:00; Tuesday 21:00-21:00,Chess,Proficiency
Amy Rush,Friday 20:00-19:00; Wednesday 18:00-21:00,Writing,Proficiency
Melinda Camacho,Friday 15:00-23:00; Tuesday 15:00-22:00,Writing,Lower
Amanda Weaver,Wednesday 18:00-20:00; Monday 16:00-23:00,Dancing,C
Clinton Harris,Friday 19:00-23:00; Thursday 15:00-20:00,Reading,Lower
Steven Krueger,Wednesday 21:00-18:00; Monday 17:00-22:00,Drawing,A-Junior
Whitney House,Friday 19:00-23:00; Thursday 17:00-23:00,Chess,E
Wendy Hernandez,Tuesday 20:00-19:00; Thursday 19:00-17:00,Chess,Pre-Junior
Kevin Holmes,Wednesday 17:00-20:00; Monday 15:00-23:00,Dancing,B
Heather Warren,Friday 20:00-17:00; Tuesday 17:00-21:00,Chess,B
Kelly Bell,Monday 21:00-23:00; Thursday 16:00-19:00,Writing,C
Mary Hunter,Friday 19:00-20:00; Wednesday 17:00-18:00,Music,E
Corey Kramer,Friday 21:00-17:00; Monday 18:00-22:00,Music,Pre-Junior
Katherine Newman,Friday 21:00-19:00; Tuesday 15:00-21:00,Drawing,A
Tina Kelly,Friday 16:00-18:00; Monday 19:00-23:00,Reading,Pre-Junior
Ann Ford,Tuesday 20:00-17:00; Friday 15:00-22:00,Writing,A
Dr. Abigail Clark,Monday 20:00-22:00; Thursday 19:00-23:00,Chess,Pre-Junior
Christopher Moyer II,Wednesday 21:00-20:00; Thursday 21:00-22:00,Chess,D
Raymond Cain,Monday 21:00-21:00; Thursday 17:00-21:00,Chess,Pre-Junior
Victoria Chase,Wednesday 19:00-22:00; Monday 19:00-20:00,Reading,Pre-Junior
Aaron Foster,Wednesday 20:00-23:00; Tuesday 21:00-21:00,Drawing,D
Charles Moore,Tuesday 18:00-22:00; Wednesday 15:00-17:00,Music,D
Michael Mendoza,Monday 21:00-23:00; Thursday 19:00-20:00,Chess,E
Joseph Maynard,Friday 19:00-22:00; Thursday 21:00-22:00,Music,Proficiency
Dennis Lucas,Wednesday 20:00-20:00; Monday 21:00-20:00,Music,Lower
Joshua Guerra,Friday 16:00-18:00; Wednesday 21:00-23:00,Writing,Lower
Melvin Ellis,Tuesday 21:00-22:00; Monday 20:00-20:00,Dancing,Proficiency
William Santos,Wednesday 16:00-19:00; Monday 21:00-19:00,Writing,A-Junior
Tiffany Allen,Monday 19:00-19:00; Wednesday 19:00-22:00,Reading,B
Michelle Hernandez,Wednesday 18:00-21:00; Tuesday 17:00-17:00,Writing,Proficiency
Amy Wilson,Tuesday 17:00-20:00; Wednesday 15:00-19:00,Music,D
Paul Green MD,Monday 18:00-21:00; Thursday 15:00-23:00,Swimming,Lower
Andrew Alvarez,Monday 21:00-19:00; Wednesday 17:00-19:00,Reading,Proficiency
Rodney George,Tuesday 19:00-19:00; Thursday 19:00-22:00,Music,Lower
Andre Mack,Wednesday 21:00-18:00; Thursday 21:00-23:00,Writing,A-Junior
Kelly Wood,Wednesday 19:00-19:00; Tuesday 17:00-18:00,Drawing,A
Bradley Wilson,Thursday 16:00-22:00; Friday 19:00-20:00,Writing,Proficiency
Steven Gomez,Thursday 18:00-20:00; Friday 18:00-23:00,Dancing,A-Junior
Jonathan Taylor,Wednesday 15:00-17:00; Thursday 15:00-21:00,Dancing,D
Jennifer Cox,Friday 19:00-20:00; Thursday 18:00-22:00,Swimming,A
Alex Larson,Tuesday 19:00-21:00; Thursday 15:00-22:00,Drawing,A-Junior
Jasmine Williams,Thursday 16:00-21:00; Tuesday 20:00-20:00,Swimming,Lower
Julie Mahoney,Friday 20:00-19:00; Monday 19:00-17:00,Swimming,Pre-Junior
Brandon Jones,Wednesday 21:00-19:00; Monday 15:00-18:00,Swimming,Pre-Junior
Carmen Wade,Monday 15:00-17:00; Wednesday 18:00-23:00,Dancing,A
Lisa Campbell,Friday 18:00-18:00; Thursday 16:00-17:00,Dancing,C
Crystal Thompson,Tuesday 21:00-20:00; Friday 17:00-22:00,Reading,E
Brenda Garcia,Tuesday 16:00-20:00; Thursday 19:00-19:00,Writing,A-Junior
Lisa Taylor,Friday 16:00-20:00; Tuesday 19:00-21:00,Writing,Proficiency
Crystal Garcia,Monday 15:00-20:00; Friday 17:00-21:00,Drawing,E
James Carr,Monday 20:00-20:00; Wednesday 19:00-17:00,Writing,A
Debra Marquez,Tuesday 21:00-22:00; Friday 15:00-20:00,Chess,E
Deborah Meyers,Thursday 17:00-21:00; Tuesday 19:00-22:00,Swimming,B
Renee Brooks,Tuesday 17:00-17:00; Friday 21:00-17:00,Writing,D
Phillip Mckenzie,Wednesday 15:00-22:00; Thursday 17:00-17:00,Swimming,A-Junior
Victoria Manning,Wednesday 17:00-23:00; Thursday 21:00-20:00,Chess,A-Junior
David Long,Monday 19:00-17:00; Friday 21:00-23:00,Music,A
Adam Johnson,Monday 16:00-19:00; Tuesday 17:00-18:00,Drawing,A-Junior
Sarah Gibson,Wednesday 18:00-18:00; Friday 20:00-17:00,Dancing,B
Peter West,Monday 20:00-21:00; Thursday 16:00-22:00,Reading,A
Daniel Manning,Friday 21:00-17:00; Tuesday 15:00-20:00,Drawing,B
Nicole Williams,Monday 20:00-22:00; Thursday 16:00-20:00,Dancing,E
Corey Sims,Thursday 17:00-20:00; Friday 21:00-17:00,Chess,E
Geoffrey Gomez,Friday 19:00-19:00; Tuesday 21:00-18:00,Music,A-Junior
William Malone,Tuesday 19:00-18:00; Friday 19:00-17:00,Music,Proficiency
Beverly Johnson,Wednesday 17:00-18:00; Thursday 21:00-21:00,Swimming,D
Lauren Clark,Friday 18:00-20:00; Wednesday 19:00-17:00,Drawing,D
James Perry,Tuesday 21:00-21:00; Thursday 20:00-17:00,Swimming,A-Junior
Kelsey Moore,Tuesday 16:00-22:00; Monday 19:00-17:00,Music,A-Junior
Karen Bates,Tuesday 16:00-17:00; Friday 16:00-20:00,Drawing,A
Karen Moody,Thursday 20:00-17:00; Friday 18:00-18:00,Music,A
Mary David,Monday 20:00-19:00; Wednesday 20:00-17:00,Chess,B
Barbara Anderson,Tuesday 16:00-21:00; Wednesday 15:00-23:00,Swimming,D
Steven Rodriguez,Thursday 15:00-22:00; Tuesday 16:00-18:00,Drawing,D
Rebecca Francis,Wednesday 21:00-21:00; Tuesday 15:00-18:00,Swimming,A
Molly Howard,Friday 15:00-21:00; Thursday 20:00-17:00,Swimming,A
Jacob Brown,Tuesday 15:00-20:00; Wednesday 19:00-19:00,Writing,A
David Parsons,Thursday 21:00-19:00; Wednesday 18:00-19:00,Swimming,Lower
Linda Newton,Friday 20:00-22:00; Monday 18:00-21:00,Music,C
Gabriel Mcdonald,Friday 20:00-19:00; Thursday 19:00-23:00,Chess,D
Katrina Davis,Friday 16:00-18:00; Tuesday 21:00-17:00,Reading,A
Michael Wood,Wednesday 16:00-23:00; Friday 17:00-22:00,Writing,B
Shane Gentry,Friday 17:00-17:00; Monday 20:00-23:00,Writing,A-Junior
Kayla White,Thursday 21:00-19:00; Friday 17:00-23:00,Writing,Pre-Junior
Ian Velasquez,Thursday 17:00-17:00; Monday 21:00-20:00,Music,D
Margaret Webb,Friday 15:00-19:00; Tuesday 19:00-23:00,Dancing,D
Hannah Bailey,Tuesday 21:00-17:00; Monday 17:00-17:00,Reading,Lower
Cheryl Rodriguez,Wednesday 18:00-20:00; Tuesday 19:00-17:00,Music,Proficiency
Brandi Hamilton,Tuesday 16:00-19:00; Wednesday 20:00-17:00,Dancing,D
Sophia Monroe,Wednesday 19:00-22:00; Friday 15:00-21:00,Drawing,Lower
Andrew Cook,Wednesday 16:00-17:00; Tuesday 19:00-19:00,Chess,A-Junior
Kimberly Quinn,Monday 21:00-23:00; Thursday 17:00-21:00,Writing,A
Diana King,Friday 15:00-21:00; Thursday 17:00-21:00,Reading,C
Melissa Smith,Monday 21:00-18:00; Thursday 18:00-17:00,Reading,E
Debra Becker,Thursday 21:00-23:00; Monday 21:00-20:00,Swimming,A-Junior
Emily Obrien,Tuesday 18:00-18:00; Thursday 20:00-19:00,Drawing,D
Christine Baker,Tuesday 21:00-23:00; Thursday 20:00-22:00,Writing,B
Brooke Mitchell,Wednesday 15:00-18:00; Tuesday 18:00-21:00,Drawing,B
Beth Peterson,Monday 20:00-18:00; Thursday 19:00-20:00,Reading,Pre-Junior
Timothy Simmons,Thursday 21:00-17:00; Monday 16:00-19:00,Reading,A-Junior
Steven Miller,Monday 19:00-21:00; Wednesday 20:00-18:00,Swimming,Pre-Junior
Jessica Stewart,Monday 20:00-21:00; Tuesday 15:00-20:00,Drawing,C
Keith Frey,Friday 16:00-19:00; Thursday 16:00-19:00,Reading,C
Brian Diaz,Tuesday 18:00-19:00; Wednesday 15:00-21:00,Chess,Lower
Edward Velez,Tuesday 20:00-18:00; Wednesday 18:00-18:00,Dancing,A
Mr. Michael Barnett,Monday 21:00-19:00; Tuesday 20:00-17:00,Chess,B
Scott Coleman DDS,Tuesday 19:00-17:00; Friday 17:00-18:00,Music,D
Cindy Murray,Thursday 19:00-20:00; Tuesday 15:00-19:00,Reading,C
Robert Sims,Tuesday 15:00-20:00; Friday 20:00-18:00,Chess,D
Rachel Allen,Friday 18:00-21:00; Wednesday 16:00-18:00,Reading,A
Paul Romero,Wednesday 19:00-21:00; Friday 17:00-20:00,Dancing,A
